Mã KH,Tên KH,Địa chỉ,Địa Bàn,Mã Số Thuế,Mã Nhóm,Đối Tác,Số ĐT
SMCGBINHNGUYEN,Nhà thuốc Bình Nguyên,"Thôn Phố cũ, xã Si Ma Cai, huyện Si Ma Cai, tỉnh Lào Cai",Si Ma Cai,,04KVLAOCAI,Đinh Hồng Nguyên,0988 585 510
LCPKMAT,Nhà thuốc phòng khám chuyên khoa mắt,"388 đường Nhạc Sơn, phường Kim Tân, tp Lào Cai","Sơn, phường Kim Tân",,04KVLAOCAI,Ngô Kim Liên,0913 287 123
BXQTSO8,Quầy thuốc số 8,"thôn Tòng Trú 3, xã Cốc San, tp Lào Cai, tỉnh Lào Cai","San, tp Lào Cai",,04KVLAOCAI,Nguyễn Thị Hồng Thu,0364 281 727
LC1HUYENTRAM,Nhà thuốc Huyền Trâm,"SN 059 đường B6, tổ 13, phường Nam Cường, tp Lào Cai, tỉnh Lào Cai","Cường, tp Lào Cai",,04KVLAOCAI,Nông Thị Huyền Trâm,035 951 6845
KHOIKHACHLE,Khách lẻ,,,,04KVLAOCAI,,
BXQTSO2,Quầy thuốc số 2 (Hiệu thuốc huyện Bát Xát),"Tổ 5 đường Hùng Vương, TT Bát Xát, huyện Bát Xát, tỉnh Lào Cai","Xát, huyện Bát Xát",,04KVLAOCAI,Triệu Tuyết Nhung,0976 788 881
BTQT14,Quầy thuốc số 14 - CTD 10,"Tổ 04, thị trấn Tằng Loỏng, huyện Bảo Thắng , tỉnh Lào Cai","Loỏng, huyện Bảo Thắng ",,04KVLAOCAI,Vũ Thị Dung,0976777567
LCNTSO89,Nhà thuốc số 89,"SN 89 đường Thanh Niên, p Cốc Lếu, Tp Lào Cai, tỉnh Lào Cai",Tp Lào Cai,,04KVLAOCAI,Vũ Thị Phượng,0913395203
LCQT30,CTD 10 - Quầy thuốc số 30,"Thôn Giang Đông 2, xã Vạn Hòa, tp Lào Cai, tỉnh Lào Cai","Hòa, tp Lào Cai",,04KVLAOCAI,Nguyễn Thị Hoa,0987634924
BXTHUHA,Nhà thuốc Thu Hà,"Số 119B tổ 5 TT Bát Xát, hyện Bát Xát, tỉnh Lào Cai","Xát, hyện Bát Xát",,04KVLAOCAI,Trần Thị Hà,0978300322
LCTAMBINH,Nhà thuốc Tâm Bình,"144 Võ Nguyên Giáp, p Bắc Cường, tp Lào Cao, tỉnh Lào Cai","Cường, tp Lào Cao",,04KVLAOCAI,DS Hồi,0977878235
LCTHANHMAI,Nhà thuốc Thanh Mai,"Số 9 Trần Duy Hưng, p Duyên Hải, tp Lào Cai, tỉnh Lào Cai","Hải, tp Lào Cai",,04KVLAOCAI,Mai Thu Hường (DS Mai),0968195925
LCQT14,MPT - Quầy thuốc số 14,"Tổ 2 phường Thống Nhất, Tp Lào Cai, tỉnh Lào Cai",Tp Lào Cai,,04KVLAOCAI,Nguyễn Thanh Hoan,0376945678
LCDANGKHOI,Nhà thuốc Đăng Khôi - Cao Diệu Thùy,"92 Võ Nguyên Giáp, phường Bắc Cường, tp Lào Cai, t.Lào Cai","Cường, tp Lào Cai",,04KVLAOCAI,Cao Diệu Thùy,0973731465
VBQT35,Quầy thuốc số 35,"Thôn trung tâm, xã Khánh Yên, huyện Văn Bàn, tỉnh Lào Cai","Yên, huyện Văn Bàn",,04KVLAOCAI,Lò Thị Bích Ngọc,0979496110
LC.THUYCHUNG,Nhà thuốc Thủy Chung - Mai Thị Thủy,"Tổ 3 đường Võ Nguyên Giáp, TP Lào Cai, tỉnh Lào Cai",TP Lào Cai,,04KVLAOCAI,Mai Thị Thủy,0357579189
BTQT80,MPT - Quầy thuốc 80,"Thôn Thái Vô, xã Xuân Quang, huyện Bảo Thắng, tỉnh Lào Cai","Quang, huyện Bảo Thắng",,04KVLAOCAI,Hoàng Lan Anh,0328028626
BTQTSO10,Quầy thuốc số 10,"Chợ Xuân Giao, xã Xuân Giao, huyện Bảo Thắng, tỉnh Lào Cai","Giao, huyện Bảo Thắng",,04KVLAOCAI,Trần Thị Thanh Mai,0374801863
BT.QT12,CTD Tâm Thảo - Quầy thuốc số 12,"310 đường CMT8, TT Phố Lu, huyện Bảo Thắng, tỉnh Lào Cai","Lu, huyện Bảo Thắng",,04KVLAOCAI,Đỗ Thị Nga,0911372354
BTTAMAN,Nhà thuốc Tâm An,"Thôn Tả Hà 2, xã Sơn Hà, huyện Bảo Thắng, tỉnh Lào Cai","Hà, huyện Bảo Thắng",,04KVLAOCAI,Nguyễn Thành Trung,0961451295
LCMINHPHUONG,Nhà thuốc Minh Phương,"10 Phạm Hồng Thái, phường Phố Mới, tp Lào Cai, tỉnh Lào Cai","Mới, tp Lào Cai",,04KVLAOCAI,Nguyễn Thị Hà Phương,0988575525
BTQT57,CTD 10- Quầy thuốc 61,"Thôn Làng Bạc, xã Xuân Quang, huyện Bảo Thắng, tỉnh Lào Cai","Quang, huyện Bảo Thắng",,04KVLAOCAI,Vũ Thị Thu,0978757513
LCDSTHAO,Quầy thuốc số 1 - DS Thảo,"495A đường Hoàng Liên, phường Kim Tân,TP Lào Cai, tỉnh Lào Cai",TP Lào Cai,,04KVLAOCAI,DS Thảo,0982875107
VBQT32,Quầy thuốc số 32,"Tổ 9 đường Quang Trung, TT Khánh Yên, huyện Văn Bàn, tỉnh Lào Cai","Yên, huyện Văn Bàn",,04KVLAOCAI,Hoàng Thị Hường,0336176858
BYQTSO15,CTD Tâm Thảo - Quầy thuốc số 15,"bản Liên Hà 2, xã Bảo Hà, huyện Bảo  Yên, tỉnh Lào Cai","Hà, huyện Bảo  Yên",,04KVLAOCAI,Nguyễn Thị Loan,0395176996
BYQTSO58,CTD 10 - Quầy thuốc số 58,"bản Liên Hà, xã Bảo Hà, huyện Bảo Yên, tỉnh Lào Cai","Hà, huyện Bảo Yên",,04KVLAOCAI,Trương Thị Huệ,0987812899
BTQT59,Quầy thuốc số 59,"Km36 xã Phong Liên, huyện Bảo Thắng, tỉnh Lào Cai","Liên, huyện Bảo Thắng",,04KVLAOCAI,Phạm Thị Phương,0989113127
BYQTSO4,Nhà thuốc Thu Hương,"Thôn Đồng Mòng, xã Phúc  Khánh, huyện Bảo Yên, tỉnh Lào Cai",Lào Cai,0968235345 C Huệ,04KVLAOCAI,Phùng Thị Thu Hương,0333477023
BXQTSO1,Quầy thuốc số 1 - Bùi Văn Quý,"Tổ 5 đường Hùng Vương, TT Bát Xát, huyện Bát Xát, tỉnh Lào Cai","Xát, huyện Bát Xát",,04KVLAOCAI,Bùi Văn Quý,0984984715
VBMANHDUONG,Nhà thuốc Mạnh Dương,"Số 72 đường Minh Đăng, TT Khánh Yên, huyện Văn Bàn, tỉnh Lào Cai","Yên, huyện Văn Bàn",,04KVLAOCAI,Bùi Mạnh Dương,0865202302
BHQT56,Nhà thuốc Nguyễn Hồng (Qt 56),"Thôn Bảo Nhai 2, xã Bảo Nhai, huyện Bắc Hà, tỉnh Lào Cai","Nhai, huyện Bắc Hà",,04KVLAOCAI,Nguyễn Thị Hồng,0986720121
LCQTSO45,Quầy thuốc Hoa Tân An,"Thôn Phú Hải 2, xã Phú Nhuận, huyện Bảo Thắng, tỉnh Lào Cai","Nhuận, huyện Bảo Thắng",,04KVLAOCAI,Nguyễn Thị Liên,0989555795
LCPHUCLAM,Nhà thuốc Phúc Lâm - Bùi Thị Hồng Lan,"403 đường Điện Biên, phường Duyên Hải, tp Lào Cai, tỉnh Lào Cai","Hải, tp Lào Cai",,04KVLAOCAI,Bùi Thị Hồng Lan,0977068692
LCQT66,Quầy thuốc số 66 - Hoàng Thị Hiền,"Thôn Thị Tứ, xã Võ Lao, huyện Văn Bàn, tỉnh Lào Cai","Lao, huyện Văn Bàn",,04KVLAOCAI,Hoàng Thị hiền,0969011816
BTQT10,CTD 10 - Quầy thuốc số 17,"Thôn Bến Phà, xã Gia Phú, h.Bảo Thắng, t.Lào Cai","Phú, h.Bảo Thắng",,04KVLAOCAI,Hoàng Thị Ngọc Phương,0385 180 568
BXQT13,CTD Tâm Thảo - Quầy thuốc 13,"Thôn Phố Mới 2, xã Trịnh Tường, huyện Bát Xát, tỉnh Lào Cai","Tường, huyện Bát Xát",,04KVLAOCAI,Vũ Thị Thủy,0856 264 186
BTTRUNGNGUYEN,Nhà thuốc Trung Nguyên,"SN 263 đường CMT8, TT Phố Lu, huyện Bảo Thắng, tỉnh Lào Cai","Lu, huyện Bảo Thắng",,04KVLAOCAI,Lý Thành Trung,0382926568
BYTHANHNGAN,MPT - Quầy thuốc Thanh Ngân,"Bản Liên Hà 4, xã Bảo Hà, huyện Bảo Yên, tỉnh Lào Cai","Hà, huyện Bảo Yên",,04KVLAOCAI,Nguyễn Thị Thanh Ngân,0981131989
BYTRUNGTAM,Nhà thuốc Cường Ngọc,"SN 520 đường Nguyễn Tất Thành, TT Phố Ràng, huyện Bảo Yên, tỉnh Lào Cai","Ràng, huyện Bảo Yên",,04KVLAOCAI,Ds Ngọc,0912637658
LCDUNGTHUY,Nhà thuốc Dũng Thúy,"351 Khánh Yên, p Phố Mới, TP Lào Cai, tỉnh Lào Cai",TP Lào Cai,,04KVLAOCAI,Nguyễn Phi Hùng,0964190893
LDQT12,Quầy thuốc Tuyết Sơn,"Tổ 21 đường D2, phường Duyên Hải, tp Lào Cai, tỉnh Lào Cai","Hải, tp Lào Cai",,04KVLAOCAI,Lê ánh Tuyết,0975075515
BYDOCHUNG,Quầy bán thuốc số 2 - Đỗ Thị Chung,"SN 46 đường Võ Nguyên Giáp, khu 5A TT Phố Ràng, huyện Bảo Yên, tỉnh Lào Cai","Ràng, huyện Bảo Yên",,04KVLAOCAI,Ds Trang,0862716669
LCTHANHTHANH,Nhà thuốc Thanh Thanh,"Lô 21 đường Hoàng Sào, tổ 21, phường Pom Hán, tp Lào Cai, tỉnh Lào Cai","Hán, tp Lào Cai",,04KVLAOCAI,Phạm Thị Kim Thanh,0389249105
DVKHACHLE,Khách lẻ,"291 Chợ Hàng, TP Hải Phòng",Chợ Hàng,,04KVLAOCAI,Hoàng Đức Việt,0936359427
MKQT39,Quầy thuốc số 39 - Lương Thị Hiền,"xã Bản Lẩu,huyện Mường Khương, tỉnh Lào Cai","Lẩu,huyện Mường Khương",,04KVLAOCAI,Lương Thị Hiền,0393453334
LC1HUYENCHANG,Nhà thuốc Lào Cai 1,"64 Nguyễn Huệ, phường Lào Cai, TP Lào Cai, tỉnh Lào cai","Cai, TP Lào Cai",,04KVLAOCAI,Phạm Huyền Chang,0976 948 824
LCPK103,Phòng khám 103,"308 đường Cách mạng tháng 8, thị trấn phố Lu, tp Lào Cai, tỉnh Lào Cai","Lu, tp Lào Cai",,04KVLAOCAI,Phạm Hữu Ngọc,0985 442 288
MKQT06,Quầy thuốc Phương Thảo - Hoàng Thị Nhuần,"299 Đường Giải Phóng, Thị Trấn Mường Khương, h.Mường Khương,  t. Lào Cai","Khương, h.Mường Khương",,04KVLAOCAI,Hoàng Thị Nhuần,0833 660 999
VBNOIKHOA,Phòng khám Nội Khoa,"Số 1 đường Gia Lam, tổ 8, thị trấn Khánh Yên, huyện Văn Bàn, tỉnh Lào Cai","Yên, huyện Văn Bàn",,04KVLAOCAI,Phạm Thị Thuý Hà,0915 269 232
LCQT18,Nhà thuốc Thu Hương 68,"Số 561 đường Hoàng Quốc Việt, phường Poom Hán, tp Lào Cai, tỉnh Lào Cai","Hán, tp Lào Cai",,04KVLAOCAI,Nguyền Thị Thu Hương,0962 851 138
BYHATRANG,Quầy thuốc Vũ Hà Trang,"446 đường Nguyễn Tất Thành, TT Phố Ràng, huyện Bảo Yên, tỉnh Lào Cai","Ràng, huyện Bảo Yên",,04KVLAOCAI,Vũ Hà Trang,0987709700
LCNGUYENHANG,Quầy thuốc Dung Hằng,"Số 86 đường Mường Than, P.Kim Tân, TP Lào Cai",Kim Tân,,04KVLAOCAI,Nguyễn Thị Hằng,0366 118 200
BHQT48,MPT - Quầy thuốc 48,"Khởi Xá, xã Bảo Nhai, huyện Bắc Hà, tỉnh Lào Cai","Nhai, huyện Bắc Hà",,04KVLAOCAI,Trần Thị Thanh Bình,0965 852 675
BYHOANGYEN,Nhà thuốc Hoàng Yến,"Số nhà 227 tổ 6B1 đường Nguyễn Tất Thành, TT Phố Ràng, H Bảo Yên, T. Lào Cai",Bảo Yên,,04KVLAOCAI,Trần Thị Yến,0988 628 620
VBKHOIKHOA,Quầy thuốc Khôi Khoa,"tổ dân phố số 5, TT Khánh Yên, huyện Văn Bàn, tỉnh Lào Cai","Yên, huyện Văn Bàn",,04KVLAOCAI,Nguyễn Thị Hướng,0973 093 388
VBQT78,Nhà thuốc Được Hảo,"Thôn 14, xã Dương Quỳ, huyện văn Bàn, tỉnh Lào Cai","Dương Quỳ, huyện văn Bàn",,04KVLAOCAI,Hoàng Thị Hiền,0379 227 956
LCQTSO2,MPT - Quầy thuốc số 02,"57 đường 4E, phố Lê Thanh, Tổ 2,  p.Nam Cường, tp Lào Cai, tỉnh Lào Cai","Cường, tp Lào Cai",,04KVLAOCAI,Lưu Thị Hương Liễu,0976 171 198
BTQTSO5,Quầy thuốc Thiên Ân,"Tổ 3 TT Phong Hải, huyện Bảo Thắng, tỉnh Lào Cai","Hải, huyện Bảo Thắng",,04KVLAOCAI,Lèo Thị Hương Liêm,0834 207 838
BHQTSO1,Nhà thuốc Sức Khỏe (cũ là Qt số 1) - Nguyễn Thị Ngọc Lan,"Số nhà 015 đường Vũ Văn Mật,TDP Na Cồ, TT Bắc Hà, huyện Bắc Hà, tỉnh Lào Cai","Hà, huyện Bắc Hà",,04KVLAOCAI,Nguyễn Thị Ngọc Lan,0347 899 955
LCBANGOC,Nhà thuốc Bá Ngọc,"746 đường Hoàng Quốc Việt, phường Pom Hán, tp Lào Cai, tỉnh Lào Cai","Hán, tp Lào Cai",,04KVLAOCAI,Cồ Bá Ngọc,0904579156
LCTHANHXUAN,Nhà thuốc Thanh Xuân,"76 Ngô Quyền, phường Bắc Cường, tp Lào Cai, tỉnh Lào Cai","Cường, tp Lào Cai",,04KVLAOCAI,Đào Thanh Xuân,0963989102
BTQT39,MPT - Quầy thuốc số 39,"xã Bản Phiệt, huyện Bảo Thắng, tỉnh Lào Cai","Phiệt, huyện Bảo Thắng",,04KVLAOCAI,Vũ Thị Nhung,0984 434 221
BTHUNGCUONG,MPT - Quầy thuốc Hùng Cường,"Km24 TT Phong Hải, huyện Bảo Thắng, tỉnh Lào Cai","Hải, huyện Bảo Thắng",,04KVLAOCAI,Phạm Hùng Cường,0334 461 890
LCATHUHUONG,Nhà thuốc Thu Hương 86,"561 Hoàng Quốc Việt, tổ 6 phường Pom Hán, tp Lào Cai, tỉnh Lào Cai","Hán, tp Lào Cai",,04KVLAOCAI,,0962851138
LCMINHVU,Nhà thuốc Minh Vũ,"246 Hồng Hà, phường Cốc Lếu, Tp Lào Cai, tỉnh Lào Cai",Tp Lào Cai,,04KVLAOCAI,Nguyễn Thị Tám,0986746555
LCQTSO12,Quầy thuốc số 12,"382 Đường Khánh Yên, phường Phố Mới, tp Lào Cai, tỉnh Lào Cai","Mới, tp Lào Cai",,04KVLAOCAI,Hoàng Thị Hằng,0964 206 665
BTQT50,Quầy thuốc 50,"Thôn Bản Quẩn, xã Bản Phiệt, huyện Bảo Thắng, tỉnh Lào Cai","Phiệt, huyện Bảo Thắng",,04KVLAOCAI,Lù Thị Hải,0977 428 900
BTQT55,Quầy thuốc 55,"Thôn Tòng Giàng, Phong HảI, Bảo Thắng, Lào Cai","I, Bảo Thắng",,04KVLAOCAI,Phạm Thị Hạnh,0981 402 159
BH1QT03,Quầy thuốc 03,"Thôn Bảo Tân 1, xã Bảo Nhai, huyện Bắc Hà, tỉnh Lào Cai","Nhai, huyện Bắc Hà",,04KVLAOCAI,Trần Thị Ngân,0962 886 833
LCMUONGTHAN,Nhà thuốc Mường Than,"Số nhà 069, đường Mường Than, phường Kim Tân, tp Lào Cai, Tỉnh Lào Cai",Lào Cai,,04KVLAOCAI,Phạm Thị Lan Hương,0972 999 946
BHVANTRANG,Nhà thuốc Vân Trang,"Số nhà 265 đường Ngọc Uyển, TT Bắc Hà, huyện Bắc Hà, tỉnh Lào Cai","Hà, huyện Bắc Hà",,04KVLAOCAI,Long Hải Yến,0392 030 391
BTQT97,MPT - Quầy thuốc số 97,"km 15 xã Bản Cầm, huyện Bảo Thắng, tỉnh Lào Cai","Cầm, huyện Bảo Thắng",,04KVLAOCAI,Mộng Thị Thuận,0968 321 187
LCBACHVINH,Quầy thuốc số 10,"97 đường Cốc Lếu, phường Cốc Lếu, tp Lào Cai, tỉnh Lào Cai","Lếu, tp Lào Cai",,04KVLAOCAI,Bạch Thị Kim Vinh,0915 830 634
BTQT60,MPT - Quầy thuốc 60,"SN 046, TDP  Bắc Hà 5, thị trấn Bắc Hà, huyện Bắc Hà, tỉnh Lào Cai","Hà, huyện Bắc Hà",,04KVLAOCAI,Đào Thị Thu Hà,0945 982 982
BXMINHTAN,Nt phòng khám Minh Tâm - Bs Lò Thị Minh,"Số 554 đường Hùng Vương tổ 3 TT Bát Xát, hyện Bát Xát, tỉnh Lào Cai","Xát, hyện Bát Xát",,04KVLAOCAI,Lò Thị Minh,0912216104
BHQT36,Quầy thuốc số 36 - Đào Thị Thu Hà,"TDP Na Cồ, Tt Bắc Hà, huyện Bắc Hà, tỉnh Lào Cai","Hà, huyện Bắc Hà",,04KVLAOCAI,Đào Thị Thu Hà,0945982982
LCVANANH,Nhà thuốc Vân Anh,"Số nhà 370 Hoàng Liên, tổ 32 phường Kim Tân, tp Lào Cai, tỉnh Lào Cai","Tân, tp Lào Cai",,04KVLAOCAI,Đặng Thị Vân Anh,0345881312
SPQT29,Nhà thuốc Hoàng Mai,"567 Điện Biên, TT Sapa, huyện Sa Pa, tỉnh Lào Cai","Sapa, huyện Sa Pa",,04KVLAOCAI,Lê Tuyết Mai,0982 646 174
VBKHOAHUONG,Quầy thuốc số 28 - Khoa Thị Mai Hương,"Thị tứ Võ Lao, huyện Văn Bàn, tỉnh Lào Cai","Lao, huyện Văn Bàn",0984827257,04KVLAOCAI,Khoa Thị Mai Hương,0965467918
LCMINHQUAN,Nhà thuốc Minh Quân,"SN 494, Điện Biên, tổ 10, phường Cốc Lếu, tp Lào Cai, tỉnh Lào Cai","Lếu, tp Lào Cai",,04KVLAOCAI,Lương Thị Ngọc Anh,0977453338
MKQT15,Quầy thuốc số 15- Nguyễn Hồng Mai,"Thôn Sín Chải, xã Thanh Bình, huyện Mường Khương, Tỉnh Lào Cai",Mường Khương,,04KVLAOCAI,Nguyễn Hồng Mai,0911962322
BTSO94,Quầy thuốc số 94 - Nguyễn Thị Quỳnh,"Phú An 1, xã Phú Nhuận, huyện Bảo Thắng, tỉnh Lào Cai","Nhuận, huyện Bảo Thắng",,04KVLAOCAI,Nguyễn Thị Quỳnh,0985988445
BTTHANHTHUY,Quầy thuốc Thanh Thúy,"km 5 thôn Làng Bông, xã Xuân Quang, huyện Bảo Thắng, tỉnh Lào Cai","Quang, huyện Bảo Thắng",,04KVLAOCAI,Nguyễn Thị Thanh Thúy,0912285307
BTQT69,Nhà thuốc Tú Hằng,"Thôn Tả Hà 3, Sơn Hà, Bảo Thắng, Lào Cai","Hà, Bảo Thắng",,04KVLAOCAI,Đỗ Diệp Hằng,0985 338 192
LCQT03,MPT - Quầy thuốc số 03,"SN 46 Tổ 13 đường Chiềng On, p Bình Minh, tp Lào Cai, tỉnh Lào Cai","Minh, tp Lào Cai",,04KVLAOCAI,Hoàng Thị Diễm,0388 669 165
SPQT06,Quầy thuốc 06 - Nguyễn Thị Hồng,"395 Điện Biên Phủ, TT SaPa, huyện Sapa, t. Lào Cai","SaPa, huyện Sapa",,04KVLAOCAI,Nguyễn Thị Hồng,0977 850 086
BTQT22,Quầy thuốc 22,"TT Tằng Loỏng, huyện Bảo Thắng, tỉnh Lào Cai","Loỏng, huyện Bảo Thắng",,04KVLAOCAI,Lê Thị Tổ Quỳnh,0987 168 768
LC.QT19BACCUONG,Nhà thuốc Tâm Đức,"Số 002 đường D1, phường Bắc Cường, TP Lào Cai, tỉnh Lào Cai",TP Lào Cai,,04KVLAOCAI,Nguyễn Thị Hồi,0977878235
VBQT47,Quầy thuốc 47,"tổ 8, thị trấn Khánh Yên, huyện Văn Bàn, tỉnh Lào Cai","Yên, huyện Văn Bàn",,04KVLAOCAI,Nguyễn Bích Hồng,0988 525 158
TDVVUONG,Vũ Văn Vương,Lào Cai,,,04KVLAOCAI,,
SMCQTSO3,Quầy thuốc 03,"Thôn Phố Mới, xã Simacai, huyện Simacai, tỉnh Lào Cai","Mới, xã Simacai, huyện Simacai",,04KVLAOCAI,Trương Thị Vui,0966106251
NBPHAMTHUONG,Quầy thuốc 47,"bản 2 xã Minh Lương, huyện Văn Bàn, tỉnh Lào Cai","Lương, huyện Văn Bàn",,04KVLAOCAI,Phạm Thị Thương,0979948850
VBTAMNGUYEN,Nhà thuốc Nguyên Khang,"Tổ 9 TT Khánh Yên, huyện Văn Bàn, tỉnh Lào Cai","Yên, huyện Văn Bàn",,04KVLAOCAI,Trần Ngọc Hoàng,0977557932
SPQT95,MPT - Quầy thuốc số 95,"SN 326 đường Điện Biên Phủ, TT Sapa, huyện Sa Pa, tỉnh Lào Cai","Sapa, huyện Sa Pa",,04KVLAOCAI,Vũ Thị Đào,0828068908
LCNGUYENHUE,Quầy thuốc Minh Khang,"Thôn Hòa Lạc, xã Thống Nhất, Tp Lào Cai, tỉnh Lào Cai",Tp Lào Cai,,04KVLAOCAI,Nguyễn Thanh Huế,0961451295
LCHONGQUAN,Nhà thuốc Hồng Quân,"SN 051 đường B5, tp Lào Cai, tỉnh Lào Cai","B5, tp Lào Cai",,04KVLAOCAI,Phạm Thị Kim Thanh,0389249105
SPBAOAN,Nhà thuốc Bảo Anh,"Số 088 đường Thạch Sơn, tổ 3, phường Sa Pa, thị xã Sa Pa, tỉnh Lào Cai","Pa, thị xã Sa Pa",,04KVLAOCAI,Lê Thị Hồng Phượng,0969928092
LCNGUYENHOA,Quầy TPCN Nguyễn Thị Thanh Hoa,"Tổ 8 phường Xuân Tăng, tp Lào Cai, tỉnh Lào Cai","Tăng, tp Lào Cai",,04KVLAOCAI,Nguyễn Thị Thanh Hoa,0376945678
LCTRUONGGIANG,Nhà thuốc Trường Giang,"126 Chiềng On, phường Bình Minh, tp Lào Cai, tỉnh Lào Cai","Minh, tp Lào Cai",,04KVLAOCAI,Hoàng Thị Mai Hương,0373782575
LCKTKHANHLINH,Nhà thuốc Khánh Linh,"SN 186 đường Hàm Nghi, phường Kim Tân, tp Lào Cai, tỉnh Lào Cai","Tân, tp Lào Cai",,04KVLAOCAI,Lê Thị Nga,0914325762
LCTHUNGOAN,Nhà thuốc Thu Ngoan,"26 Ngô Văn Sở, phường Phố Mới, TP Lào Cai, tỉnh Lào Cai",TP Lào Cai,,04KVLAOCAI,Nguyễn Thị Ngoan,0987403892
LCNGOCLAM,Nhà thuốc Ngọc Lâm,"324 Hoàng Liên, phường Kim Tân, tp Lào Cai, tỉnh Lào Cai","Tân, tp Lào Cai",,04KVLAOCAI,Hoàng Thị Ngọc Lâm,0779348386
LC365,Nhà thuốc 365,"Số nhà 208, đường Trần Phú, phường Bắc Cường, tp Lào Cai, tỉnh Lào Cai","Cường, tp Lào Cai",,04KVLAOCAI,Phạm Thị Ngọc Bích,0919952215
LCQT42,Quầy thuốc 42 - Ds Thanh Phương,"Lô 39 thôn Sơn Mãn, xã Vạn Hòa, tp Lào Cai, tỉnh Lào Cai","Hòa, tp Lào Cai",,04KVLAOCAI,Ds Thanh Phương,0326786728
LCTHUHA,Nhà thuốc Thu Hà,"447 tổ 5 đường Hùng Vương, thị trấn bát Xát, huyện Bát Xát, tỉnh Lào Cai","Xát, huyện Bát Xát",,04KVLAOCAI,,0978300322
BTHUEHUNG,Quầy thuốc Big Family Huệ Hùng,"Km9 thôn Bản Phiệt, xã Bản Phiệt, huyện Bảo Thắng, tỉnh Lào Cai","Phiệt, huyện Bảo Thắng",,04KVLAOCAI,Lù Thị Hải,0974620172
LCMINHTRIET,Nhà thuốc Minh Triết,"10 Trần Văn Nó, phường Pom Hán tp Lào Cai, tỉnh Lào Cai",Hán tp Lào Cai,,04KVLAOCAI,,0342350839
LCLANVU,Nhà thuốc Lan Vũ,"150 Hàm Nghi, phường Kim Tân, tp Lào Cai, tỉnh Lào Cai","Tân, tp Lào Cai",,04KVLAOCAI,,0912375855
LCQUOCHUNG,Quầy thuốc Quốc Hùng,"Thôn Tiến Cường, xã Thống Nhất, tp Lào Cai, tỉnh Lào Cai","Nhất, tp Lào Cai",,04KVLAOCAI,,0947332853
TMANHTHU,Quầy thuốc Anh Thư,"Gia Cốc, xã Tứ Cường, huyện Thanh Miện, tỉnh Hải Dương","Cường, huyện Thanh Miện",,04KVLUONG,Vũ Thị Thư,0865 668 155
TMQUANGMINH,Quầy thuốc Quang Minh,"Đan Giáp, xã Thanh Giang, huyện Thanh Miện, tỉnh Hải Dương",Thanh Miện,,04KVLUONG,Đỗ Quang Minh,0398 074 686
TMQUANTHU,Quầy thuốc Quân Thư,"Chợ Hoàng, xã Lê Hồng, huyện Thanh Miện, tỉnh Hải Dương","Hồng, huyện Thanh Miện",,04KVLUONG,Lê Thị Hương,0966024937
TMTHUANCHAM,Quầy thuốc Thuận Châm,"Xóm mới hội trường Tân Trào, Thanh Miện, Hải Dương","Trào, Thanh Miện",,04KVLUONG,Nguyễn Thị Châm,0395233941
TMMINHCHAU,Quầy thuốc Minh Châu,"Thôn Từ Xá, xã Đoàn Kết, huyện Thanh Miện, tỉnh Hải Dương","Kết, huyện Thanh Miện",,04KVLUONG,Phạm Thị Hằng,0358452937
TMQ18,Quầy thuốc 18- Khổng Thị Châm,"Thôn An Bình, xã Hồng Quang, huyện Kinh Môn, Hải Dương","Quang, huyện Kinh Môn",,04KVLUONG,Khổng Thị Châm,0967891278
TMIEPLAN,Quầy thuốc Diệp Lan,"Từ Xá, xã Đoàn Kết, huyện Thanh Miện, tỉnh Hải Dương","Kết, huyện Thanh Miện",,04KVLUONG,Vũ Thị Lan,0763973973
TMNGUYENMAI,Quầy thuốc Nguyễn Mai,"Đội 8, thôn La Xá, xã Thanh Tùng, huyện Thanh Miện, tỉnh Hải Dương","Tùng, huyện Thanh Miện",,04KVLUONG,Nguyễn Thị Mai,0984538515
MCNGUYENTHUY,Nhà thuốc Thúy Toản,"42 Trần Phú, phường Trần Phú, TP Móng Cái, Tỉnh Quảng Ninh",Móng Cái,,04KVMCQN,Nguyễn Thị Thúy,0912458470
MCCOLO,Nhà thuốc Nguyễn Thị Lơ,"Thôn 5, Phường Hải Yên, Móng Cái, Quảng Ninh","Yên, Móng Cái",,04KVMCQN,Nguyễn Thị Lơ,0379 426 363
MCLINHDOI,Nhà Thuốc Linh Đợi,"54 Trần Nhân Tông, Thôn 9 , Hải  Xuân, Móng Cái, Quảng Ninh","Xuân, Móng Cái",,04KVMCQN,Đặng Thị Đợi,0936 624 199
MCCUONGMAI,Quầy thuốc Cường Mai,"Thôn 8, Hải Đông, Móng Cái, QUảng Ninh","Đông, Móng Cái",,04KVMCQN,Hoàng Thị Mai,0984 035 019
MCQT72,Nt pk đa khoa Y Cao,"34 Tuệ Tĩnh, KaLong, Móng Cái, Quảng Ninh","Long, Móng Cái",,04KVMCQN,Lê T Thùy Linh,0977 992 995
MCHONGNHUNG,CTD - Quầy thuốc 12,"Đường Trần Phú, TP Móng Cái, Quảng Ninh",TP Móng Cái,,04KVMCQN,Vũ Thị Hồng Nhung,0789039888
